Gene ID
Bcin01g04480
Bcin01g04860
Bcin01g10450
Bcin02g08180
Bcin02g08240
Bcin02g08430
Bcin02g09200
Bcin04g02170
Bcin04g04350
Bcin05g02220
Bcin06g01110
Bcin06g01120
Bcin06g01810
Bcin06g02020
Bcin06g02990
Bcin06g05150
Bcin06g05230
Bcin06g07350
Bcin07g05230
Bcin07g05680
Bcin08g03630
Bcin10g00370
Bcin10g05000
Bcin12g00770
Bcin12g00840
Bcin12g01220
Bcin13g00730
N/A
